activity,restlessness,energy,happiness,loneliness,inspired,anxious
swipe on dating app,1,0.5,0.5,1,0,0.5
check twitter,1,0.5,0,0.8,0,0.8
check instagram,1,0.5,0.3,0.5,0,0.8
play ambient music,0,0,0,1,1,0
play catchy music. ,1,1,1,0,0.5,0.1
consider watching a new tv show or a movie. but watch something mindless instead.,0.7,0.2,0.1,1,0,0.8
cook. just throw the things in the pan and make something and eat it.,0.7,0.5,0.5,0.5,0,0.8
cook with intention,0.2,0.5,0.6,0.3,1,0.1
order takeout,0.7,0.2,0.5,0.7,0,0.5
snack on crackers you don't really even like,1,0.5,0.5,0.5,0.5,0.7
call family,0.4,0.5,0.7,0.7,0.5,0.1
read,0,0.5,0.6,0.5,0.6,0.1
play music for a few minutes and decided it's too distracting,1,0.8,0.5,0.5,1,0.5
yoga,0.7,0.7,0.5,0.5,0.5,0.5
basketball,0.6,1,1,0.5,0.5,0.2
walk to the park,0.4,0.5,0.5,0.6,0.8,0.4
"walk a couple blocks. Decide: too cold, return.",1,0.5,0.5,0.6,0.8,0.6
take a shower,0.7,0.5,0.5,0.7,0.5,0.6
journal,0.3,0.6,0.5,0.7,1,0.5
try to make music,0.2,1,0.8,0.8,1,0
play nintendo switch,1,0.5,0.3,0.3,0.5,0.6
water plants,0.8,0.5,0.5,0.5,0.8,0.2
fold clothing,0.8,0.5,0.5,0.5,0.3,0.7
start boiling kettle to make tea. decide: too caffeinated already. go on a walk.,0.9,0.7,0.5,0.5,0.3,0.7
