filename,title,notes
rooftop 2021 elaine.m4a,"house rooftop. queens, ny, 2020.",conversation with elaine on the roof
2020 window.m4a,"bedroom window. brooklyn, ny 2020.",sounds from my open window. meditative.
arcadia 20171110 142938.m4a,"workplace. boston, ma, 2017.",click click clack.
cairo 20190101 171233.m4a,"cairo market, egypt. 2019.",family trip for sister's wedding. 
cairo2.m4a,cairo bus ride. egypt. 2019,killing time on the tour bus.
kids hike 20170627 171156.m4a,hike. ca 2017.,talking with the fam. 
family recording 20171223 180340.m4a,"hanging w fam. dallas, tx. 2020.",reading out whatsapp messages from family group
kelsone.m4a,"dallas, tx 2020.",convo w my mom and cousin.
foosball.m4a,"foosball game. milwaukee, wi, 2019.",heated foosball match w the younger cousins.
friends 20180101 000119.m4a,hanging w friends. ny 2018.,"new years. listening to music, chatting."
New Zealand Pre Checkout.m4a,logistics. new zealand 2020.,checking out of airbnb in nz. 
rooftop 2021 ridgewood.m4a,"ambient rooftop sound. queens, ny 2020.","sounds from the rooftop, where i go to relax everyday."
2020 yemeni.m4a,"bodega, brooklyn ny. 2019.",yemeni bodega playing the right music for me right now
Boiler.m4a,"bar, brooklyn, ny 2016.",feeling the music right now.
Bob Woodruff Park North.m4a,"dallas, tx 2020.",picnic with the fam.
Maria Hernandez Park.m4a,"park, brooklyn, ny 2020.",sitting in the park w elaine.
mon digital.m4a,"walking. boston, ma 2020.",conversation with eric.
2020 making music.m4a,"making music at home. brooklyn, ny, 2020.",happy with this calming loop i created.
